timestamp,utilization.gpu,utilization.memory,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory
2026/05/16 21:08:01.494, 0, 0, 443, 46068, 30, 79.27, 2520, 9000
2026/05/16 21:08:02.517, 6, 0, 627, 46068, 31, 83.88, 2520, 9000
2026/05/16 21:08:03.538, 7, 0, 627, 46068, 31, 88.07, 2520, 9000
2026/05/16 21:08:04.563, 7, 0, 627, 46068, 31, 87.98, 2520, 9000
2026/05/16 21:08:05.590, 6, 0, 627, 46068, 31, 88.54, 2520, 9000
2026/05/16 21:08:06.613, 8, 0, 627, 46068, 31, 88.43, 2520, 9000
2026/05/16 21:08:07.640, 8, 0, 627, 46068, 31, 89.18, 2520, 9000
2026/05/16 21:08:08.662, 8, 0, 627, 46068, 32, 89.16, 2520, 9000
2026/05/16 21:08:09.681, 8, 0, 627, 46068, 32, 89.07, 2520, 9000
2026/05/16 21:08:10.712, 8, 0, 627, 46068, 32, 89.25, 2520, 9000
2026/05/16 21:08:11.833, 0, 0, 627, 46068, 32, 86.89, 2520, 9000
2026/05/16 21:08:12.864, 37, 0, 627, 46068, 33, 102.61, 2520, 9000
2026/05/16 21:08:13.885, 37, 0, 639, 46068, 33, 114.29, 2520, 9000
2026/05/16 21:08:14.903, 38, 0, 639, 46068, 33, 106.68, 2520, 9000
2026/05/16 21:08:15.928, 35, 0, 639, 46068, 33, 103.52, 2520, 9000
2026/05/16 21:08:16.956, 41, 0, 639, 46068, 34, 106.50, 2520, 9000
2026/05/16 21:08:17.985, 41, 0, 661, 46068, 34, 111.39, 2520, 9000
2026/05/16 21:08:19.015, 38, 0, 661, 46068, 34, 109.67, 2520, 9000
2026/05/16 21:08:20.036, 12, 0, 689, 46068, 33, 97.76, 2520, 9000
2026/05/16 21:08:21.058, 5, 0, 689, 46068, 33, 86.46, 2520, 9000
2026/05/16 21:08:22.081, 5, 0, 689, 46068, 33, 87.65, 2520, 9000
2026/05/16 21:08:23.108, 5, 0, 689, 46068, 33, 87.17, 2520, 9000
2026/05/16 21:08:24.139, 5, 0, 689, 46068, 33, 88.84, 2520, 9000
2026/05/16 21:08:25.175, 5, 0, 689, 46068, 33, 87.72, 2520, 9000
2026/05/16 21:08:26.197, 5, 0, 689, 46068, 34, 86.91, 2520, 9000
2026/05/16 21:08:27.216, 5, 0, 689, 46068, 34, 86.97, 2520, 9000
2026/05/16 21:08:28.239, 5, 0, 689, 46068, 34, 87.79, 2520, 9000
2026/05/16 21:08:29.269, 5, 0, 689, 46068, 34, 88.19, 2520, 9000
2026/05/16 21:08:30.300, 5, 0, 689, 46068, 34, 87.88, 2520, 9000
2026/05/16 21:08:31.335, 5, 0, 689, 46068, 34, 88.14, 2520, 9000
2026/05/16 21:08:32.355, 5, 0, 689, 46068, 34, 87.46, 2520, 9000
2026/05/16 21:08:33.379, 4, 0, 689, 46068, 34, 87.85, 2520, 9000
2026/05/16 21:08:34.413, 5, 0, 689, 46068, 34, 87.26, 2520, 9000
2026/05/16 21:08:36.385, 0, 0, 689, 46068, 34, 81.68, 2520, 9000
2026/05/16 21:08:37.417, 28, 0, 689, 46068, 35, 101.06, 2520, 9000
2026/05/16 21:08:38.445, 26, 0, 689, 46068, 35, 107.06, 2520, 9000
2026/05/16 21:08:39.465, 26, 0, 709, 46068, 36, 105.72, 2520, 9000
2026/05/16 21:08:40.486, 29, 0, 709, 46068, 36, 107.28, 2520, 9000
2026/05/16 21:08:41.507, 24, 0, 709, 46068, 36, 103.10, 2520, 9000
2026/05/16 21:08:42.533, 18, 0, 709, 46068, 36, 99.31, 2520, 9000
2026/05/16 21:08:43.557, 17, 0, 709, 46068, 36, 101.90, 2520, 9000
2026/05/16 21:08:44.578, 26, 0, 709, 46068, 36, 103.00, 2520, 9000
2026/05/16 21:08:45.598, 26, 0, 709, 46068, 36, 101.79, 2520, 9000
2026/05/16 21:08:46.618, 27, 0, 709, 46068, 36, 102.78, 2520, 9000
2026/05/16 21:08:47.636, 26, 0, 709, 46068, 36, 100.83, 2520, 9000
2026/05/16 21:08:48.664, 26, 0, 709, 46068, 37, 102.89, 2520, 9000
2026/05/16 21:08:49.693, 27, 0, 709, 46068, 37, 103.68, 2520, 9000
2026/05/16 21:08:50.720, 5, 0, 709, 46068, 36, 91.45, 2520, 9000
2026/05/16 21:08:51.743, 5, 0, 709, 46068, 36, 88.54, 2520, 9000
2026/05/16 21:08:52.765, 5, 0, 709, 46068, 36, 88.47, 2520, 9000
2026/05/16 21:08:53.794, 5, 0, 709, 46068, 36, 88.80, 2520, 9000
2026/05/16 21:08:54.824, 5, 0, 709, 46068, 36, 88.34, 2520, 9000
2026/05/16 21:08:55.853, 5, 0, 709, 46068, 36, 88.03, 2520, 9000
2026/05/16 21:08:56.880, 5, 0, 709, 46068, 36, 88.07, 2520, 9000
2026/05/16 21:08:57.906, 5, 0, 709, 46068, 36, 88.89, 2520, 9000
2026/05/16 21:08:58.933, 5, 0, 709, 46068, 36, 88.44, 2520, 9000
2026/05/16 21:08:59.962, 5, 0, 709, 46068, 36, 88.38, 2520, 9000
2026/05/16 21:09:00.986, 5, 0, 709, 46068, 37, 88.45, 2520, 9000
2026/05/16 21:09:02.016, 5, 0, 709, 46068, 37, 88.78, 2520, 9000
2026/05/16 21:09:03.036, 5, 0, 709, 46068, 37, 88.69, 2520, 9000
2026/05/16 21:09:04.073, 5, 0, 709, 46068, 37, 88.05, 2520, 9000
2026/05/16 21:09:05.104, 5, 0, 709, 46068, 37, 88.86, 2520, 9000
2026/05/16 21:09:06.124, 10, 0, 709, 46068, 37, 89.62, 2520, 9000
2026/05/16 21:09:07.148, 9, 0, 709, 46068, 37, 90.52, 2520, 9000
2026/05/16 21:09:09.009, 0, 0, 709, 46068, 37, 83.69, 2520, 9000
2026/05/16 21:09:10.041, 21, 0, 709, 46068, 38, 96.26, 2520, 9000
2026/05/16 21:09:11.071, 21, 0, 709, 46068, 38, 106.25, 2520, 9000
2026/05/16 21:09:12.100, 21, 0, 709, 46068, 38, 103.66, 2520, 9000
2026/05/16 21:09:13.126, 21, 0, 709, 46068, 38, 103.71, 2520, 9000
2026/05/16 21:09:14.148, 19, 0, 709, 46068, 38, 98.73, 2520, 9000
2026/05/16 21:09:15.176, 20, 0, 709, 46068, 38, 99.52, 2520, 9000
2026/05/16 21:09:16.206, 19, 0, 709, 46068, 38, 99.60, 2520, 9000
2026/05/16 21:09:17.235, 22, 0, 711, 46068, 39, 103.16, 2520, 9000
2026/05/16 21:09:18.266, 22, 0, 711, 46068, 39, 105.41, 2520, 9000
2026/05/16 21:09:19.295, 19, 0, 711, 46068, 39, 100.10, 2520, 9000
2026/05/16 21:09:20.326, 19, 0, 711, 46068, 39, 98.71, 2520, 9000
2026/05/16 21:09:21.356, 20, 0, 711, 46068, 39, 99.98, 2520, 9000
2026/05/16 21:09:22.376, 20, 0, 711, 46068, 39, 100.99, 2520, 9000
2026/05/16 21:09:23.394, 19, 0, 711, 46068, 39, 100.78, 2520, 9000
2026/05/16 21:09:24.421, 20, 0, 711, 46068, 39, 101.14, 2520, 9000
2026/05/16 21:09:25.451, 20, 0, 711, 46068, 39, 100.40, 2520, 9000
2026/05/16 21:09:26.483, 20, 0, 711, 46068, 39, 101.08, 2520, 9000
2026/05/16 21:09:27.513, 20, 0, 711, 46068, 39, 100.23, 2520, 9000
2026/05/16 21:09:28.537, 10, 0, 711, 46068, 39, 99.15, 2520, 9000
2026/05/16 21:09:29.566, 5, 0, 711, 46068, 39, 90.46, 2520, 9000
2026/05/16 21:09:30.600, 5, 0, 711, 46068, 39, 90.32, 2520, 9000
2026/05/16 21:09:31.624, 5, 0, 711, 46068, 39, 90.20, 2520, 9000
2026/05/16 21:09:32.646, 5, 0, 711, 46068, 39, 90.44, 2520, 9000
2026/05/16 21:09:33.678, 5, 0, 711, 46068, 39, 88.64, 2520, 9000
2026/05/16 21:09:34.702, 5, 0, 711, 46068, 39, 90.31, 2520, 9000
2026/05/16 21:09:35.727, 5, 0, 711, 46068, 39, 90.85, 2520, 9000
2026/05/16 21:09:36.758, 5, 0, 711, 46068, 39, 89.74, 2520, 9000
2026/05/16 21:09:37.785, 5, 0, 711, 46068, 39, 90.01, 2520, 9000
2026/05/16 21:09:38.805, 5, 0, 711, 46068, 39, 90.64, 2520, 9000
2026/05/16 21:09:39.836, 5, 0, 711, 46068, 39, 90.23, 2520, 9000
2026/05/16 21:09:40.857, 5, 0, 711, 46068, 39, 90.87, 2520, 9000
2026/05/16 21:09:41.889, 5, 0, 711, 46068, 39, 90.09, 2520, 9000
2026/05/16 21:09:42.920, 5, 0, 711, 46068, 39, 89.10, 2520, 9000
2026/05/16 21:09:43.945, 11, 0, 711, 46068, 40, 94.92, 2520, 9000
2026/05/16 21:09:46.425, 0, 0, 711, 46068, 40, 83.00, 2520, 9000
2026/05/16 21:09:47.454, 22, 0, 711, 46068, 41, 97.59, 2520, 9000
2026/05/16 21:09:48.486, 22, 0, 711, 46068, 41, 109.48, 2520, 9000
2026/05/16 21:09:49.515, 21, 0, 711, 46068, 41, 118.35, 2520, 9000
2026/05/16 21:09:50.544, 18, 0, 711, 46068, 40, 101.92, 2520, 9000
2026/05/16 21:09:51.574, 17, 0, 711, 46068, 41, 98.07, 2520, 9000
2026/05/16 21:09:52.608, 20, 0, 711, 46068, 41, 102.09, 2520, 9000
2026/05/16 21:09:53.638, 22, 0, 711, 46068, 41, 103.47, 2520, 9000
2026/05/16 21:09:54.660, 22, 0, 711, 46068, 41, 105.16, 2520, 9000
2026/05/16 21:09:55.679, 22, 0, 711, 46068, 41, 106.54, 2520, 9000
2026/05/16 21:09:56.699, 21, 0, 711, 46068, 41, 106.76, 2520, 9000
2026/05/16 21:09:57.719, 19, 0, 711, 46068, 41, 100.04, 2520, 9000
2026/05/16 21:09:58.741, 28, 0, 719, 46068, 43, 107.65, 2520, 9000
2026/05/16 21:09:59.760, 26, 0, 719, 46068, 43, 123.89, 2520, 9000
2026/05/16 21:10:00.777, 20, 0, 719, 46068, 42, 114.20, 2520, 9000
2026/05/16 21:10:01.798, 20, 0, 719, 46068, 42, 101.49, 2520, 9000
2026/05/16 21:10:02.816, 15, 0, 719, 46068, 42, 101.26, 2520, 9000
2026/05/16 21:10:03.843, 20, 0, 719, 46068, 42, 101.41, 2520, 9000
2026/05/16 21:11:21.866, 0, 0, 719, 46068, 42, 82.48, 2520, 9000
