22:01:38 INFO explicit --jobs 10 (auto would pick: cpu 17.6->8, ram 91501MB->45, vram 24077MB->40 => jobs 8)
22:01:38 INFO 0 results done, 0 no-result (replacements used 0/0), 40 pending, 10 concurrent, device=cuda
22:01:38 INFO persistent workers: up to 10 elo_eval_game --worker processes, policies cached across games
22:02:24 INFO game 9 done in 0.8 min, peak_rss 1336MB (results=1/40 no_result=0 failed=0, 30 pending, 9 in flight)
22:02:28 INFO game 4 done in 0.8 min, peak_rss 1347MB (results=2/40 no_result=0 failed=0, 29 pending, 9 in flight)
22:02:28 INFO game 5 done in 0.8 min, peak_rss 1345MB (results=3/40 no_result=0 failed=0, 29 pending, 8 in flight)
22:02:28 INFO game 7 done in 0.8 min, peak_rss 1352MB (results=4/40 no_result=0 failed=0, 29 pending, 7 in flight)
22:02:30 INFO game 2 done in 0.9 min, peak_rss 1357MB (results=5/40 no_result=0 failed=0, 26 pending, 9 in flight)
22:02:30 INFO game 3 done in 0.9 min, peak_rss 1386MB (results=6/40 no_result=0 failed=0, 26 pending, 8 in flight)
22:02:34 INFO game 0 done in 0.9 min, peak_rss 1347MB (results=7/40 no_result=0 failed=0, 24 pending, 9 in flight)
22:02:34 INFO game 10 done in 0.2 min, peak_rss 1355MB (results=8/40 no_result=0 failed=0, 24 pending, 8 in flight)
22:02:36 INFO game 1 done in 1.0 min, peak_rss 1345MB (results=9/40 no_result=0 failed=0, 22 pending, 9 in flight)
22:02:38 INFO game 15 done in 0.1 min, peak_rss 1403MB (results=10/40 no_result=0 failed=0, 21 pending, 9 in flight)
22:02:40 INFO game 12 done in 0.2 min, peak_rss 1356MB (results=11/40 no_result=0 failed=0, 20 pending, 9 in flight)
22:02:40 INFO game 16 done in 0.1 min, peak_rss 1353MB (results=12/40 no_result=0 failed=0, 20 pending, 8 in flight)
22:02:40 INFO game 17 done in 0.1 min, peak_rss 1368MB (results=13/40 no_result=0 failed=0, 20 pending, 7 in flight)
22:02:42 INFO game 8 done in 1.1 min, peak_rss 1341MB (results=14/40 no_result=0 failed=0, 17 pending, 9 in flight)
22:02:44 INFO game 13 done in 0.3 min, peak_rss 1362MB (results=15/40 no_result=0 failed=0, 16 pending, 9 in flight)
22:02:44 INFO game 14 done in 0.2 min, peak_rss 1375MB (results=16/40 no_result=0 failed=0, 16 pending, 8 in flight)
22:02:44 INFO game 19 done in 0.1 min, peak_rss 1413MB (results=17/40 no_result=0 failed=0, 16 pending, 7 in flight)
22:02:48 INFO game 21 done in 0.1 min, peak_rss 1361MB (results=18/40 no_result=0 failed=0, 13 pending, 9 in flight)
22:02:48 INFO game 23 done in 0.1 min, peak_rss 1377MB (results=19/40 no_result=0 failed=0, 13 pending, 8 in flight)
22:02:54 INFO game 25 done in 0.2 min, peak_rss 1420MB (results=20/40 no_result=0 failed=0, 11 pending, 9 in flight)
22:02:56 INFO game 18 done in 0.3 min, peak_rss 1362MB (results=21/40 no_result=0 failed=0, 10 pending, 9 in flight)
22:02:56 INFO game 26 done in 0.2 min, peak_rss 1429MB (results=22/40 no_result=0 failed=0, 10 pending, 8 in flight)
22:02:56 INFO game 27 done in 0.1 min, peak_rss 1365MB (results=23/40 no_result=0 failed=0, 10 pending, 7 in flight)
22:02:58 INFO game 20 done in 0.3 min, peak_rss 1371MB (results=24/40 no_result=0 failed=0, 7 pending, 9 in flight)
22:02:58 INFO game 22 done in 0.3 min, peak_rss 1378MB (results=25/40 no_result=0 failed=0, 7 pending, 8 in flight)
22:03:00 INFO game 24 done in 0.3 min, peak_rss 1382MB (results=26/40 no_result=0 failed=0, 5 pending, 9 in flight)
22:03:02 INFO game 6 done in 1.4 min, peak_rss 1403MB (results=27/40 no_result=0 failed=0, 4 pending, 9 in flight)
22:03:06 INFO game 28 done in 0.3 min, peak_rss 1396MB (results=28/40 no_result=0 failed=0, 3 pending, 9 in flight)
22:03:06 INFO game 34 done in 0.1 min, peak_rss 1389MB (results=29/40 no_result=0 failed=0, 3 pending, 8 in flight)
22:03:08 INFO game 11 done in 0.7 min, peak_rss 1391MB (results=30/40 no_result=0 failed=0, 1 pending, 9 in flight)
22:03:08 INFO game 32 done in 0.2 min, peak_rss 1433MB (results=31/40 no_result=0 failed=0, 1 pending, 8 in flight)
22:03:10 INFO game 29 done in 0.3 min, peak_rss 1446MB (results=32/40 no_result=0 failed=0, 0 pending, 8 in flight)
22:03:10 INFO game 36 done in 0.1 min, peak_rss 1412MB (results=33/40 no_result=0 failed=0, 0 pending, 7 in flight)
22:03:12 INFO game 31 done in 0.3 min, peak_rss 1382MB (results=34/40 no_result=0 failed=0, 0 pending, 6 in flight)
22:03:12 INFO game 35 done in 0.2 min, peak_rss 1387MB (results=35/40 no_result=0 failed=0, 0 pending, 5 in flight)
22:03:12 INFO game 38 done in 0.1 min, peak_rss 1401MB (results=36/40 no_result=0 failed=0, 0 pending, 4 in flight)
22:03:12 INFO game 39 done in 0.1 min, peak_rss 1392MB (results=37/40 no_result=0 failed=0, 0 pending, 3 in flight)
22:03:14 INFO game 30 done in 0.3 min, peak_rss 1374MB (results=38/40 no_result=0 failed=0, 0 pending, 2 in flight)
22:03:14 INFO game 37 done in 0.1 min, peak_rss 1406MB (results=39/40 no_result=0 failed=0, 0 pending, 1 in flight)
22:03:18 INFO game 33 done in 0.3 min, peak_rss 1389MB (results=40/40 no_result=0 failed=0, 0 pending, 0 in flight)
22:03:31 INFO chunk end: 40/40 RESULTS (0 no-result absences, replacements 0/0; 40 files) in /workspace/bench/sweep_t1 (this chunk: 40 played, 0 failed)
