timestamp,utilization.gpu,utilization.memory,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory
2026/05/20 14:06:07.556, 0, 0, 443, 46068, 30, 79.51, 2520, 9000
2026/05/20 14:06:08.587, 5, 0, 627, 46068, 31, 81.00, 2520, 9000
2026/05/20 14:06:09.620, 4, 0, 627, 46068, 31, 85.02, 2520, 9000
2026/05/20 14:06:10.640, 4, 0, 627, 46068, 31, 84.51, 2520, 9000
2026/05/20 14:06:11.664, 4, 0, 627, 46068, 31, 85.32, 2520, 9000
2026/05/20 14:06:12.688, 4, 0, 627, 46068, 31, 84.11, 2520, 9000
2026/05/20 14:06:13.715, 4, 0, 627, 46068, 32, 85.34, 2520, 9000
2026/05/20 14:06:14.751, 4, 0, 627, 46068, 32, 85.00, 2520, 9000
2026/05/20 14:06:15.791, 4, 0, 627, 46068, 32, 84.79, 2520, 9000
2026/05/20 14:06:16.829, 4, 0, 627, 46068, 32, 83.72, 2520, 9000
2026/05/20 14:06:17.940, 1, 0, 627, 46068, 32, 84.00, 2520, 9000
2026/05/20 14:06:18.969, 4, 0, 627, 46068, 32, 83.79, 2520, 9000
2026/05/20 14:06:20.011, 4, 0, 627, 46068, 32, 83.89, 2520, 9000
2026/05/20 14:06:21.045, 4, 0, 627, 46068, 32, 84.89, 2520, 9000
2026/05/20 14:06:22.080, 4, 0, 627, 46068, 32, 84.29, 2520, 9000
2026/05/20 14:06:23.112, 4, 0, 627, 46068, 32, 84.95, 2520, 9000
2026/05/20 14:06:24.148, 4, 0, 627, 46068, 33, 85.15, 2520, 9000
2026/05/20 14:06:25.186, 5, 0, 627, 46068, 33, 85.10, 2520, 9000
2026/05/20 14:06:26.550, 0, 0, 627, 46068, 32, 80.73, 2520, 9000
2026/05/20 14:06:27.580, 38, 0, 627, 46068, 34, 105.86, 2520, 9000
2026/05/20 14:06:28.602, 29, 0, 637, 46068, 34, 108.78, 2520, 9000
2026/05/20 14:06:29.622, 23, 0, 639, 46068, 34, 99.14, 2520, 9000
2026/05/20 14:06:30.645, 26, 0, 639, 46068, 34, 100.33, 2520, 9000
2026/05/20 14:06:31.675, 21, 0, 639, 46068, 34, 97.13, 2520, 9000
2026/05/20 14:06:32.707, 38, 0, 639, 46068, 35, 103.59, 2520, 9000
2026/05/20 14:06:33.736, 33, 0, 639, 46068, 35, 106.24, 2520, 9000
2026/05/20 14:06:34.754, 32, 0, 639, 46068, 35, 105.37, 2520, 9000
2026/05/20 14:06:35.773, 35, 0, 641, 46068, 34, 101.88, 2520, 9000
2026/05/20 14:06:36.805, 2, 0, 689, 46068, 34, 85.71, 2520, 9000
2026/05/20 14:06:37.838, 2, 0, 689, 46068, 34, 84.17, 2520, 9000
2026/05/20 14:06:38.884, 3, 0, 689, 46068, 34, 84.26, 2520, 9000
2026/05/20 14:06:39.909, 3, 0, 689, 46068, 34, 84.07, 2520, 9000
2026/05/20 14:06:40.935, 2, 0, 689, 46068, 34, 83.75, 2520, 9000
2026/05/20 14:06:41.958, 3, 0, 689, 46068, 34, 84.91, 2520, 9000
2026/05/20 14:06:42.980, 3, 0, 689, 46068, 34, 84.98, 2520, 9000
2026/05/20 14:06:44.010, 3, 0, 689, 46068, 34, 83.49, 2520, 9000
2026/05/20 14:06:45.037, 2, 0, 689, 46068, 34, 84.38, 2520, 9000
2026/05/20 14:06:46.070, 2, 0, 689, 46068, 34, 84.32, 2520, 9000
2026/05/20 14:06:47.101, 3, 0, 689, 46068, 35, 84.48, 2520, 9000
