iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm,r_gold_killed,r_village_delta,r_damage_dealt,r_unit_recruited_cost,r_per_turn_penalty,r_leader_move_penalty,r_invalid_action,r_min_enemy_distance,r_approach_mp,r_unused_mp,r_fog_reveal,r_attack_attempt,r_unit_type_bonus,r_turn_cond_bonus,r_terminal,mean_end_gold_s1,mean_end_gold_s2,n_recruits_s1,n_recruits_s2,n_recruit_attempts_s1,n_recruit_attempts_s2
10,2026-05-21T09:08:42,7,87.16729531437159,3244,201.0,0,0,7,1.88039457459926,97.50308261405672,0.0,0.6165228113440198,0.0,4.428571428571429,6.285714285714286,27.0,26.285714285714285,14,3244,9.042252644482485,7.348034100212082,3.3946115135913715,3.087212525283803,0.004562030546367168,92.1131362915039,,0.25,,1.0090000000000006,,-2.149999999999998,,,0.2800000000000001,,1.6759119435554601,,,,,-150.14285714285714,154.14285714285714,24,37,24,37
11,2026-05-21T09:10:25,5,79.18525226321071,2337,201.0,0,0,5,2.5673940949935816,97.04749679075738,0.0,0.3851091142490372,0.0,6.8,7.2,21.6,21.0,10,2337,-7.617718660718643,-9.307198546426328,3.3858976470073685,3.468937795999409,0.06974641233682632,30.404380798339844,,0.25,,0.9940000000000007,,-0.10999999999999999,,,0.6300000000000003,,1.649237214704664,,,,,-219.8,-312.8,29,31,29,31
12,2026-05-21T09:12:58,7,111.67308906558901,3354,201.0,0,0,7,2.415026833631485,96.2432915921288,0.0,1.3416815742397137,0.0,6.285714285714286,7.285714285714286,20.142857142857142,20.0,14,3354,-6.220932469138371,-7.915862992136254,3.3970132050453685,3.5760795248014574,0.06449796259403229,34.79917907714844,,0.35,,1.2999999999999998,,-0.3300000000000001,,,0.6900000000000004,,2.2479369117508012,,,,,-163.57142857142858,-129.71428571428572,37,44,37,44
13,2026-05-21T09:15:34,7,116.05735357291996,3290,201.0,0,0,7,2.3404255319148937,96.17021276595744,0.668693009118541,0.8206686930091185,0.0,5.857142857142857,7.142857142857143,19.142857142857142,20.571428571428573,14,3290,-4.670484267281867,-6.291743870092848,3.25029397563776,3.8873850078992405,0.04374144598841667,44.514705657958984,,0.1,,1.2229999999999999,,-0.45000000000000023,,,0.39000000000000024,,1.6723959015764358,0.11000000000000003,,,,-442.85714285714283,-141.14285714285714,34,43,34,43
14,2026-05-21T09:18:33,7,124.97099237330258,3482,201.0,0,0,7,2.441125789775991,96.6398621481907,0.402067777139575,0.5169442848937392,0.0,6.714285714285714,7.428571428571429,20.857142857142858,21.142857142857142,14,3482,-8.496303992159943,-10.208111814439349,3.431298847310245,3.8416013757159817,0.06991039216518402,45.22598648071289,,0.44999999999999996,,1.3139999999999996,,-0.5100000000000002,,,1.1000000000000008,,2.1105110753256744,0.06999999999999999,,,,-261.0,19.857142857142858,40,45,40,45
15,2026-05-21T09:21:19,8,109.1202497407794,4042,201.0,0,0,8,2.028698664027709,88.61949529935676,0.0,9.351806036615537,0.0,5.0,7.25,22.375,22.875,16,4000,1.4366165670979023,-0.33874015908901356,3.557182771328371,3.2346594772696164,0.02800440788269043,45.75041198730469,,0.44999999999999996,,1.2559999999999996,,-2.239999999999996,,,0.7600000000000005,,2.472989135065038,,,,,-234.375,-100.25,32,50,32,50
16,2026-05-21T09:24:08,7,114.18507175706327,3295,201.0,0,0,7,2.488619119878604,96.44916540212444,0.0,1.062215477996965,0.0,6.428571428571429,7.285714285714286,25.0,24.428571428571427,14,3295,-6.982496744302007,-8.628317404441901,3.299739479087293,4.04907940375233,0.04990718886256218,49.439815521240234,,0.39999999999999997,,1.3059999999999998,,-0.5000000000000002,,,0.6100000000000003,,1.8150361653399707,,,,,-400.42857142857144,210.57142857142858,38,44,38,44
17,2026-05-21T09:26:54,8,124.87335766199976,3958,201.0,0,0,8,2.450732693279434,96.31126831733198,0.0,1.23799898938858,0.0,7.375,6.75,16.5,18.125,16,3958,-5.4963667532280835,-7.214225019696038,3.4434098721831106,3.846669623601315,0.06780435144901276,51.50680160522461,,0.5499999999999999,,1.5479999999999985,,-0.7900000000000005,,,0.8900000000000007,,2.892674186061145,,,,,-243.125,106.625,51,46,51,46
18,2026-05-21T09:29:26,7,103.35734929610044,3548,201.0,0,0,7,2.0293122886133035,95.68771138669673,0.0,2.282976324689966,0.0,5.0,7.285714285714286,19.857142857142858,17.857142857142858,14,3548,-0.5973712904462505,-2.29974362551679,3.4115829998627305,3.4191648608259584,0.06680331379175186,20.040857315063477,,0.39999999999999997,,1.174,,-0.5900000000000003,,,0.9200000000000007,,2.4896757279345785,,,,,-196.57142857142858,119.57142857142857,28,44,28,44
19,2026-05-21T09:32:18,7,113.44079474639148,3495,201.0,0,0,7,2.575107296137339,95.87982832618026,0.0,1.5450643776824033,0.0,5.857142857142857,9.0,19.571428571428573,19.714285714285715,14,3495,-2.956887590939589,-4.711439912719591,3.516547182924114,3.721269682054981,0.08013776689767838,54.07325744628906,,0.6,,1.4729999999999999,,-0.5400000000000003,,,0.8800000000000006,,2.540785373705251,,,,,-135.14285714285714,71.71428571428571,34,56,34,56
20,2026-05-21T09:35:41,7,138.0496598193422,3631,201.0,0,0,7,2.7540622418066647,95.40071605618287,0.055081244836133296,1.7901404571743322,0.0,6.285714285714286,10.0,20.0,19.714285714285715,14,3631,-0.9771166068810089,-2.6930893728381307,3.4399621736374684,4.008320861612447,0.07392482459545135,36.0858039855957,,0.7000000000000001,,1.5899999999999987,,-0.7100000000000004,,,1.0100000000000007,,2.4092314308664857,0.01,,,,-277.42857142857144,-10.714285714285714,37,63,37,63
21,2026-05-21T09:39:02,8,142.64862710703164,4060,201.0,0,0,8,2.7832512315270934,95.1231527093596,0.2955665024630542,1.7980295566502462,0.0,6.5,9.625,22.0,23.0,16,4000,-7.410687186439667,-9.143996057170853,3.474530787440017,3.956522988822144,0.07583838701248169,61.347679138183594,,0.7500000000000001,,1.7939999999999983,,-0.8700000000000006,,,1.2600000000000007,,2.6620105555941445,0.05999999999999999,,,,-189.5,-83.625,44,69,44,69
22,2026-05-21T09:41:17,7,88.13875557202846,3188,201.0,0,0,7,2.0702634880803013,93.69510664993726,1.0978670012547052,3.136762860727729,0.0,5.285714285714286,6.142857142857143,14.0,14.714285714285714,14,3188,-5.121336272730967,-6.749009269949511,3.2621922143152915,3.423109939101778,0.046674299985170364,58.75870132446289,,0.15000000000000002,,1.0430000000000004,,-0.5700000000000003,,,0.46000000000000024,,1.8147740702298816,0.17500000000000007,,,,-320.57142857142856,-255.42857142857142,30,36,30,36
23,2026-05-21T09:44:31,8,128.16981067694724,3875,201.0,0,0,8,2.3741935483870966,96.92903225806451,0.0,0.6967741935483871,0.0,6.0,7.5,16.875,18.5,16,3875,-5.804619604507728,-7.531144310332422,3.46037647704361,3.6635326971104405,0.07336673140525818,29.331911087036133,,0.49999999999999994,,1.462999999999999,,-0.2900000000000001,,,0.7600000000000005,,3.027807678509983,,,,,-191.5,-211.625,40,52,40,52
24,2026-05-21T09:47:41,8,142.3718566177413,3896,201.0,0,0,8,2.5410677618069815,94.32751540041068,0.9240246406570842,2.2073921971252566,0.0,5.75,8.625,20.125,19.625,16,3896,-5.158454646615422,-6.858679660238295,3.408246456703637,3.8982147289461864,0.06487488001585007,44.557743072509766,,0.49999999999999994,,1.5939999999999988,,-0.9200000000000006,,,1.1500000000000008,,2.4812417505236732,0.18000000000000008,,,,-392.25,-163.625,38,61,38,61
25,2026-05-21T09:49:58,7,93.55378781817853,3325,201.0,0,0,7,2.1353383458646618,91.72932330827068,0.0,6.135338345864661,0.0,4.857142857142857,7.285714285714286,24.285714285714285,23.0,14,3325,-1.908790602017364,-3.5760506273821733,3.3411071030423045,3.2935261563429776,0.052869763225317,26.724515914916992,,0.3,,1.122,,-0.36000000000000015,,,0.7600000000000005,,1.7279081200128816,,,,,-24.428571428571427,106.0,27,44,27,44
26,2026-05-21T09:53:02,7,137.40733627136797,3430,201.0,0,0,7,2.5364431486880465,94.98542274052478,0.9329446064139941,1.5451895043731778,0.0,5.857142857142857,8.571428571428571,23.428571428571427,23.428571428571427,14,3430,-10.011470424540702,-11.671620461300904,3.327856140618678,3.778033549137035,0.05741136521100998,47.35404586791992,,0.39999999999999997,,1.3999999999999992,,-0.25000000000000006,,,0.6500000000000005,,1.6807944610745986,0.16000000000000006,,,,-353.7142857142857,155.42857142857142,34,53,34,53
27,2026-05-21T09:55:16,7,97.06104739569128,3590,201.0,0,0,7,1.8662952646239555,92.50696378830084,0.0,5.626740947075209,0.0,5.0,6.571428571428571,20.285714285714285,20.0,14,3590,1.9585785785267613,0.2176896027094699,3.4881996734184213,3.2108608919193102,0.029098879545927048,53.419456481933594,,0.39999999999999997,,1.0530000000000006,,-2.1699999999999977,,,0.8700000000000006,,2.4337251787426353,,,,,-152.71428571428572,151.71428571428572,28,39,28,39
28,2026-05-21T09:57:56,8,117.97710755374283,4163,201.0,0,0,8,2.282008167187125,95.60413163583954,0.0,2.1138601969733366,0.0,5.5,8.375,16.875,17.375,16,4000,-3.239593882025552,-5.031256473905955,3.590472446579952,3.5736314095724993,0.08532694727182388,23.765989303588867,,1.0000000000000002,,1.513999999999999,,-1.2100000000000009,,,1.0300000000000007,,3.2996837596681363,,,,,88.75,229.375,36,59,36,59
29,2026-05-21T10:00:52,8,128.75797326583415,3803,201.0,0,0,8,2.36655272153563,96.8971864317644,0.0,0.7362608466999737,0.0,6.25,7.0,22.0,22.0,16,3803,-7.440980820316785,-9.09979654700087,3.325386466807686,3.8775067197566386,0.05264909937977791,44.74725341796875,,0.39999999999999997,,1.4130000000000005,,-0.5500000000000003,,,0.5400000000000003,,2.0962616314813265,,,,,-298.125,134.5,42,48,42,48
30,2026-05-21T10:03:30,7,112.68946891371161,3357,201.0,0,0,7,2.1745606196008342,97.02114983616325,0.0,0.8042895442359249,0.0,5.0,7.428571428571429,18.571428571428573,19.142857142857142,14,3357,-7.993097167956703,-9.71794975956712,3.4570277024176903,3.661259598429524,0.06977493315935135,75.40227508544922,,0.35,,1.1760000000000006,,-0.47000000000000025,,,0.8100000000000004,,2.3268519985384457,,,,,-172.0,-42.142857142857146,28,45,28,45
31,2026-05-21T10:06:42,8,145.67940956447273,4106,201.0,0,0,8,2.338041889917194,95.76229907452509,0.5114466634193863,1.3882123721383341,0.0,6.375,7.625,21.125,21.625,16,4000,-7.927208847584029,-9.643496284972397,3.4401376027963124,3.7813640097883763,0.06949380785226822,44.4657096862793,,0.44999999999999996,,1.428,,-0.38000000000000017,,,1.1600000000000008,,2.7460559758645844,0.10500000000000002,,,,-369.875,-51.25,43,53,43,53
32,2026-05-21T10:09:08,7,95.41942442581058,3256,201.0,0,0,7,2.3034398034398036,90.87837837837837,0.15356265356265356,6.664619164619165,0.0,5.142857142857143,7.571428571428571,20.142857142857142,18.714285714285715,14,3256,-1.5715209821836003,-3.2348872876745247,3.3334375020931475,3.3524455556492967,0.049805812537670135,54.635833740234375,,0.25,,1.1090000000000002,,-0.8200000000000005,,,1.0900000000000005,,1.8568921179259048,0.025,,,,-178.14285714285714,-71.0,29,46,29,46
33,2026-05-21T10:11:42,8,92.69504065997899,4204,195.625,0,0,8,1.5461465271170314,95.93244529019981,0.30922930542340626,2.2121788772597526,0.0,4.0,6.125,20.75,20.875,16,4000,3.6371651763136166,1.8609371912656698,3.558068194659427,2.8061122817664454,-0.018952177837491035,53.699806213378906,,0.39999999999999997,,0.9940000000000008,,-4.949999999999939,,,1.0000000000000007,,2.5025401345896796,0.06499999999999999,,,,26.625,235.0,24,41,24,41
34,2026-05-21T10:14:46,8,130.25890917051584,4264,201.0,0,0,8,2.2983114446529083,95.54409005628519,0.04690431519699812,2.1106941838649154,0.0,6.375,7.875,17.875,19.75,15,4000,-1.5734151382741286,-3.3160583346253993,3.492726356431376,3.7199818644173774,0.06909044831991196,25.83708381652832,,0.7500000000000001,,1.6309999999999985,,-1.6600000000000013,,,1.1100000000000008,,3.063813617509424,0.01,,,,-122.25,127.75,43,55,43,55
35,2026-05-21T10:17:27,7,120.05190687067807,3734,201.0,0,0,7,2.41028387787895,96.43813604713444,0.0,1.1515800749866096,0.0,7.0,7.857142857142857,15.714285714285714,15.714285714285714,15,3947,-1.64597602281826,-3.3843775088371615,3.4841685873107053,3.6828076364513436,0.0511997789144516,23.527332305908203,,0.5499999999999999,,1.3769999999999993,,-2.0500000000000003,,,0.8200000000000005,,2.481825817939476,,,,,-133.14285714285714,99.85714285714286,42,48,42,48
36,2026-05-21T10:19:56,6,104.32302412949502,3326,201.0,0,0,6,2.555622369212267,94.34756464221287,0.751653638003608,2.3451593505712567,0.0,6.833333333333333,9.333333333333334,17.166666666666668,14.833333333333334,12,3326,-0.7804120920830389,-2.605329110126732,3.657092523702886,3.6292438077498446,0.10483987629413605,28.95856285095215,,1.0000000000000002,,1.3069999999999997,,-0.8300000000000005,,,1.270000000000001,,2.816907408963446,0.12500000000000003,,,,-137.0,188.5,35,50,35,50
37,2026-05-21T10:22:10,7,90.08174557797611,3245,201.0,0,0,7,2.126348228043143,97.56548536209553,0.0,0.3081664098613251,0.0,4.714285714285714,7.142857142857143,27.857142857142858,26.857142857142858,14,3245,-5.847855946553314,-7.538671268712363,3.3879340994753875,3.1517275786441132,0.0609760656952858,51.65800476074219,,0.2,,1.1020000000000003,,-0.35000000000000014,,,1.1100000000000008,,1.9437274745692315,,,,,-130.71428571428572,-118.57142857142857,26,43,26,43
38,2026-05-21T10:25:46,8,150.61213545687497,4229,201.0,0,0,8,2.388271458973753,96.47670844171199,0.04729250413809411,1.0877275951761647,0.0,5.75,8.875,20.125,18.5,16,4000,-4.932088489268774,-6.709105019529773,3.5619068978121504,3.93691864507673,0.08577153086662292,49.29141616821289,,0.8000000000000002,,1.6139999999999988,,-0.4300000000000002,,,1.6100000000000012,,2.848510709557635,0.01,,,,-129.625,21.0,38,63,38,63
39,2026-05-21T10:28:38,8,115.18421631492674,3777,201.0,0,0,8,2.1180831347630393,97.43182419909982,0.0,0.4500926661371459,0.0,4.625,7.375,23.625,22.375,16,3777,-4.402714656973714,-6.073259291627423,3.3473431190359406,3.1269248642618095,0.05017543211579323,68.09819793701172,,0.15000000000000002,,1.2619999999999993,,-0.6600000000000004,,,0.6500000000000004,,2.2427457606171104,,,,,-121.0,-83.375,29,51,29,51
40,2026-05-21T10:31:36,8,131.32432518713176,4061,201.0,0,0,8,2.3393252893376015,96.45407535089879,0.02462447672986949,1.1819748830337355,0.0,6.75,7.125,16.25,16.75,16,4000,-4.911185504989049,-6.678196932381508,3.5418121381662786,3.894641690680942,0.0690782442688942,39.28307342529297,,0.6,,1.5509999999999995,,-1.0100000000000007,,,0.9900000000000007,,2.8958992933590353,0.005,,,,-235.5,61.25,46,49,46,49
41,2026-05-21T10:34:24,7,122.8593120565638,3508,201.0,0,0,7,2.5940706955530217,96.15165336374002,0.0,1.2542759407069555,0.0,6.142857142857143,8.857142857142858,15.857142857142858,16.428571428571427,14,3508,-5.720706372344369,-7.462582380782905,3.491251675528474,3.7498293257012847,0.07840036600828171,46.69683074951172,,0.5499999999999999,,1.4789999999999992,,-0.45000000000000023,,,0.9100000000000006,,2.8271759318246694,,,,,-266.42857142857144,-76.0,36,55,36,55
