iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm
0,2026-05-20T08:22:34,6,59.517795683816075,3251,201.0,0,0,6,2.0916641033528145,96.00123039064903,0.5536757920639803,1.353429713934174,0.0,6.0,7.333333333333333,15.5,17.0,12,3251,-0.07719379975045398,-1.8796916283773584,3.61211947305128,3.5619078987355124,0.059006839990615845,23.26310157775879
1,2026-05-20T08:24:51,8,70.67209643218666,4087,201.0,0,0,8,2.202104232933692,93.07560557866405,0.07340347443112308,4.648886713971128,0.0,5.875,7.375,21.375,21.25,16,4000,1.2020586446539163,-0.6105875766481859,3.63195958500728,3.3335712015377794,0.03197374939918518,39.02469253540039
2,2026-05-20T08:27:13,8,73.71014738827944,4138,201.0,0,0,8,2.416626389560174,93.93426776220396,0.0,3.649105848235863,0.0,6.125,8.375,24.25,24.125,16,4000,2.1052662347432554,0.32625860240526094,3.5646075756521896,3.2961554881003963,0.01017890963703394,23.524301528930664
3,2026-05-20T08:29:19,8,78.21299291867763,3945,201.0,0,0,8,2.332065906210393,96.88212927756653,0.45627376425855515,0.32953105196451205,0.0,6.375,7.125,21.875,21.625,16,3945,-1.7189341982248048,-3.4411547314318787,3.451709708024282,3.634320805067091,0.06128397583961487,32.05257034301758
4,2026-05-20T08:31:22,7,67.2852678829804,3369,201.0,0,0,7,2.1668150786583555,97.35826654793708,0.0,0.4749183734045711,0.0,6.142857142857143,6.285714285714286,25.285714285714285,26.714285714285715,14,3369,-1.2110101704084069,-2.8943208763184316,3.373494514322374,3.4365512511622,0.04966852441430092,56.25514602661133
5,2026-05-20T08:33:00,7,51.76857673749328,3182,201.0,0,0,7,1.7913262099308611,93.84035197988686,0.0,4.368321810182275,0.0,3.2857142857142856,6.857142857142857,21.714285714285715,22.142857142857142,14,3182,0.44341086542891506,-1.2595306313437646,3.4113294042181224,2.723205336381511,0.04358736798167229,34.726688385009766
6,2026-05-20T08:34:47,7,68.63739319331944,3554,201.0,0,0,7,2.5604952166572876,96.93303320202588,0.11254924029262803,0.3939223410241981,0.0,5.857142857142857,9.142857142857142,20.0,18.571428571428573,14,3554,-0.48457903433938304,-2.2956589019299365,3.6298795586335473,3.8599117262201617,0.08835268020629883,17.816162109375
7,2026-05-20T08:36:47,7,74.70118880551308,3500,201.0,0,0,7,2.4571428571428573,96.77142857142857,0.0,0.7714285714285715,0.0,6.285714285714286,8.0,22.0,21.0,14,3500,1.7595069979152458,0.06640735285839128,3.393591044936329,3.6958774113099935,0.06000113859772682,15.209674835205078
8,2026-05-20T08:38:54,8,75.40882028732449,4009,201.0,0,0,8,2.3696682464454977,97.28111748565728,0.0,0.34921426789723126,0.0,5.5,8.375,19.625,20.5,16,4000,-0.5878333835643276,-2.3403883165971706,3.512534155859612,3.7121448969629682,0.06947873532772064,44.229591369628906
9,2026-05-20T08:40:46,8,68.2816815758124,4359,201.0,0,0,8,2.2482220692819452,93.805918788713,0.0,3.945859142005047,0.0,6.375,7.875,20.125,19.875,15,4000,0.5731099498660014,-1.2079617062085966,3.5691328963730484,3.4947921119262446,0.032927513122558594,38.708763122558594
10,2026-05-20T08:42:24,7,54.32507587876171,3345,201.0,0,0,7,1.733931240657698,97.1898355754858,0.0,1.0762331838565022,0.0,5.571428571428571,4.714285714285714,25.0,27.0,15,3692,1.3603999774840205,-0.3466705370791492,3.420134420390241,2.9966956319506153,0.014427215792238712,34.595008850097656
11,2026-05-20T08:43:38,5,44.357631431892514,2522,201.0,0,0,5,1.9032513877874702,93.0214115781126,0.317208564631245,4.758128469468676,0.0,6.2,5.4,18.8,21.2,10,2522,2.4288394822720014,0.6050132412694538,3.6539292448433116,3.1383814191081,0.045234110206365585,29.621564865112305
12,2026-05-20T08:45:20,7,60.80586877092719,3427,201.0,0,0,7,2.276043186460461,97.3446162824628,0.0,0.3793405310767435,0.0,5.285714285714286,7.857142857142857,18.428571428571427,19.142857142857142,14,3427,-2.920065746832627,-4.706333554377643,3.579569230612833,3.5168077614004005,0.07765644788742065,34.58357620239258
13,2026-05-20T08:47:30,7,79.24759416468441,3511,201.0,0,0,7,2.1646254628311024,95.58530333238393,1.3101680432925094,0.9399031614924523,0.0,5.857142857142857,7.0,17.142857142857142,16.428571428571427,14,3511,-0.33681094239593723,-2.047813599524261,3.4296640149550512,3.8293503492018317,0.0520656481385231,31.272871017456055
14,2026-05-20T08:49:26,7,68.20944291446358,3496,201.0,0,0,7,2.145308924485126,95.22311212814645,0.8295194508009154,1.8020594965675056,0.0,5.571428571428571,7.142857142857143,20.285714285714285,21.285714285714285,14,3496,1.3742721289905215,-0.3600902110840849,3.475627782579977,3.4515512153820964,0.04097488522529602,30.612096786499023
15,2026-05-20T08:51:01,7,52.77633434161544,3754,201.0,0,0,7,1.2253596164091636,84.7096430474161,0.0,14.064997336174747,0.0,5.285714285714286,3.2857142857142856,22.0,25.428571428571427,14,3754,1.8503769627190572,-0.0060426698682256585,3.717739660933148,2.450197879291295,-0.008994992822408676,24.105831146240234
16,2026-05-20T08:53:18,7,73.37373189907521,3694,201.0,0,0,7,2.2198159177043855,93.09691391445587,0.0,4.68327016783974,0.0,6.428571428571429,7.285714285714286,22.857142857142858,22.571428571428573,14,3694,2.5314710995913905,0.7660570460168421,3.5378540413221344,3.512967086518529,0.027277294546365738,15.288784980773926
17,2026-05-20T08:55:39,8,76.01209138240665,3919,201.0,0,0,8,2.449604490941567,96.55524368461342,0.45930084205154376,0.5358509823934677,0.0,6.125,7.875,16.75,16.75,16,3919,-1.0836642063091153,-2.8460667030126388,3.532116489543114,3.6557480680335175,0.0724327564239502,21.964632034301758
18,2026-05-20T08:57:42,7,62.48963013570756,3561,201.0,0,0,7,2.358887952822241,96.79865206402695,0.0,0.8424599831508003,0.0,4.857142857142857,9.142857142857142,19.142857142857142,19.285714285714285,14,3561,-2.3999932260005776,-4.208563832738875,3.6241407510242425,3.4997687738239165,0.08601121604442596,29.104713439941406
19,2026-05-20T08:59:34,8,70.20120583474636,4067,201.0,0,0,8,2.13916892058028,96.85271699041063,0.024588148512417016,0.9835259404966806,0.0,6.875,6.0,17.125,17.875,16,4000,-3.379133667286531,-5.1478190290130215,3.5447124611819163,3.670868864467593,0.06540103256702423,55.210933685302734
20,2026-05-20T09:01:58,7,77.22666261903942,3756,201.0,0,0,7,2.6091586794462196,96.48562300319489,0.23961661341853036,0.6656017039403621,0.0,6.428571428571429,9.571428571428571,18.142857142857142,19.0,14,3756,-0.4222004496226727,-2.215764750741073,3.595338803832419,4.105100797809428,0.08457665145397186,41.089744567871094
21,2026-05-20T09:04:42,8,91.15564835816622,4301,201.0,0,0,8,2.6511627906976742,94.72093023255815,2.046511627906977,0.5813953488372093,0.0,6.875,9.25,22.75,21.25,16,4000,-2.170873157692447,-3.9698466641001318,3.6057138741598465,3.8834306722385463,0.20974579453468323,25.935644149780273
22,2026-05-20T09:06:37,7,70.65496521256864,3259,201.0,0,0,7,2.3320036821110772,92.4823565510893,2.4240564590365143,2.7615833077631176,0.0,5.142857142857143,7.714285714285714,13.142857142857142,12.285714285714286,14,3259,1.5454232948163285,-0.19040518344645818,3.4781933320336975,3.2681877540621826,0.06464392691850662,19.37693977355957
23,2026-05-20T09:08:16,8,57.35643372312188,3826,201.0,0,0,8,2.3261892315734447,96.47151071615264,0.0,1.2023000522739153,0.0,5.5,7.625,18.625,19.125,16,3826,-1.0730385500926396,-2.876412379719966,3.6140476388391107,3.6499897922290074,0.07570117712020874,30.445541381835938
24,2026-05-20T09:10:25,8,82.30662068724632,3954,201.0,0,0,8,2.2508851795649973,96.76277187658067,0.556398583712696,0.42994436014162873,0.0,6.125,7.0,18.625,19.5,16,3954,0.829172215959188,-0.8882190177612301,3.441960909811314,3.589221185239012,0.06092188134789467,15.437518119812012
25,2026-05-20T09:12:25,7,62.45107877999544,3302,201.0,0,0,7,2.392489400363416,97.1229557843731,0.0,0.48455481526347666,0.0,6.285714285714286,7.0,20.857142857142858,23.142857142857142,14,3302,-1.4450349149641817,-3.1471722806927716,3.41179594991263,3.7606092277251264,0.05925359949469566,53.97819900512695
26,2026-05-20T09:14:29,7,65.52095063123852,3476,201.0,0,0,7,1.7836593785960875,94.96547756041427,1.1219792865362486,2.128883774453395,0.0,5.428571428571429,5.428571428571429,20.142857142857142,21.0,14,3476,3.0064986140773904,1.2824206774456792,3.454843053361401,3.343590048989199,0.00913773849606514,14.267265319824219
27,2026-05-20T09:16:00,7,55.923878161236644,3485,201.0,0,0,7,2.2668579626972742,96.78622668579627,0.0,0.9469153515064562,0.0,5.714285714285714,7.571428571428571,18.428571428571427,19.142857142857142,14,3485,-0.5420534869283984,-2.3152839543749675,3.5532052915077657,3.3721783073137885,0.08078344911336899,40.25214385986328
28,2026-05-20T09:18:00,8,68.94657133892179,4309,201.0,0,0,8,2.4367602692039916,96.31004873520538,0.04641448131817127,1.206776514272453,0.0,6.25,8.875,18.0,16.875,15,4000,-1.1096110337122558,-2.858591146631536,3.505441509827506,3.740641994472753,0.06945808231830597,29.808029174804688
29,2026-05-20T09:20:03,8,74.45534486323595,4108,201.0,0,0,8,2.166504381694255,97.10321324245375,0.024342745861733205,0.7059396299902629,0.0,5.875,7.25,19.75,21.0,16,4000,-2.2496983648961577,-3.960947030654424,3.4297387861297466,3.6207273066071366,0.06308669596910477,40.37864303588867
30,2026-05-20T09:21:59,7,68.83947165030986,3831,201.0,0,0,7,2.5580788305925344,94.1007569825111,0.39154267815191857,2.9496215087444533,0.0,7.142857142857143,8.857142857142858,17.428571428571427,17.571428571428573,15,4000,0.5287239806831487,-1.3059412380093534,3.6762380176223814,3.4537901186886586,0.028950460255146027,47.74781799316406
31,2026-05-20T09:24:21,8,77.47357499878854,4256,201.0,0,0,8,2.3026315789473686,96.94548872180451,0.0,0.7518796992481203,0.0,6.875,7.375,20.25,21.0,16,4000,-0.34498397440686046,-2.1053194547107346,3.527819296985399,3.5741681888254107,0.07701849192380905,20.449153900146484
32,2026-05-20T09:26:06,7,64.41071307659149,3518,201.0,0,0,7,2.1887436043206367,87.69187038089824,0.3979533826037521,9.721432632177374,0.0,5.142857142857143,7.857142857142857,21.714285714285715,23.142857142857142,14,3518,0.8806148354584237,-0.818566024014536,3.4047004281310365,3.169354592558534,0.014680217951536179,36.0666618347168
33,2026-05-20T09:28:18,8,68.12700095865875,4062,201.0,0,0,8,2.1664204825209255,95.49483013293944,0.29542097488921715,2.0433284096504187,0.0,5.25,7.75,21.625,18.875,16,4000,2.1807858005677265,0.43600931670891896,3.496103872952517,3.2754526174509238,0.06975214183330536,18.31183624267578
34,2026-05-20T09:30:42,8,82.76256239786744,4200,201.0,0,0,8,2.4523809523809526,96.57142857142857,0.16666666666666666,0.8095238095238095,0.0,6.0,8.875,19.875,20.625,16,4000,-0.14740338840393485,-1.9254081316148444,3.563700683589559,3.8455985838700144,0.07528325915336609,35.14344024658203
35,2026-05-20T09:32:06,6,51.538945524953306,3063,201.0,0,0,6,1.5670910871694417,95.85373816519751,0.1958863858961802,2.3832843617368593,0.0,5.166666666666667,4.833333333333333,13.833333333333334,14.166666666666666,12,3063,1.315059925264869,-0.45021290657673774,3.5369983034324832,3.22631987463501,0.03622898459434509,29.539356231689453
36,2026-05-20T09:33:48,6,52.63603296875954,2987,201.0,0,0,6,2.4104452628054904,96.55172413793103,0.5356545028456645,0.5021760964178105,0.0,5.166666666666667,8.833333333333334,15.166666666666666,15.0,12,2987,1.0705997004936463,-0.7518331470582069,3.652058466046583,3.596385471438225,0.08765721321105957,54.81270217895508
37,2026-05-20T09:35:08,7,48.21985872928053,3331,201.0,0,0,7,1.6811768237766436,95.6169318522966,0.0,2.701891323926749,0.0,4.285714285714286,5.714285714285714,22.571428571428573,23.857142857142858,14,3331,1.0142823034471073,-0.7037977306458352,3.4423725049127825,3.106218363448761,0.03955032303929329,30.5190486907959
38,2026-05-20T09:37:17,8,75.0997567139566,3969,201.0,0,0,8,2.2171831695641218,96.69942050894431,0.0,1.0833963214915596,0.0,6.5,6.5,19.75,20.0,16,3969,-1.1924109909355447,-2.9295675719897645,3.4818334816372953,3.7601597644279536,0.06982889771461487,35.02989959716797
39,2026-05-20T09:39:20,8,69.60148572176695,4161,201.0,0,0,8,2.3311703917327566,95.16943042537851,0.21629416005767843,2.2831050228310503,0.0,6.75,7.375,20.625,19.375,16,4000,0.4765965016423955,-1.3227168228292996,3.6049491822486743,3.161266652642098,0.022605497390031815,40.19729995727539
40,2026-05-20T09:40:58,7,62.67062410339713,3570,201.0,0,0,7,2.1574670776127767,96.18940879798262,0.5884001120762118,1.0647240123283832,0.0,6.0,6.857142857142857,17.0,17.0,14,3569,-1.8313105167736585,-3.576553290781888,3.497708120557945,3.6112862707432214,0.10878709703683853,36.00551986694336
41,2026-05-20T09:42:48,7,66.21213824488223,3600,201.0,0,0,7,2.8333333333333335,95.86111111111111,0.0,1.3055555555555556,0.0,6.0,10.571428571428571,16.571428571428573,17.285714285714285,14,3600,1.1107138153242806,-0.7165395244701074,3.662018957489636,3.756138950429886,0.0844058021903038,25.418275833129883
42,2026-05-20T09:44:48,7,66.32438133936375,3580,201.0,0,0,7,2.0670391061452515,94.07821229050279,0.0,3.8547486033519553,0.0,5.142857142857143,7.428571428571429,22.428571428571427,20.571428571428573,14,3580,1.281759566150749,-0.4825050433725835,3.535247977997642,3.3593794754883675,0.04426773265004158,22.479904174804688
43,2026-05-20T09:47:00,8,86.04231686424464,4148,199.625,0,0,8,2.314368370298939,95.17839922854388,0.0,2.507232401157184,0.0,4.75,9.25,22.875,22.375,16,4000,1.3018065763810944,-0.4308778350764486,3.472008979995735,3.3200785403245163,-0.008767330087721348,48.731971740722656
44,2026-05-20T09:49:03,8,70.89916059095412,4143,201.0,0,0,8,2.0999275887038378,97.10354815351195,0.09654839488293507,0.6999758629012792,0.0,5.375,7.5,16.5,18.625,16,4000,-0.03915304023243073,-1.7938565420437982,3.516584005614277,3.588500995771028,0.06923101842403412,40.237060546875
45,2026-05-20T09:50:32,6,52.11074824165553,2958,201.0,0,0,6,1.7579445571331982,96.55172413793103,0.0,1.6903313049357673,0.0,3.6666666666666665,7.0,23.666666666666668,23.5,12,2958,0.31041545649927127,-1.4127539259513924,3.4523120201774873,2.9866276380799945,0.03981344774365425,28.887039184570312
46,2026-05-20T09:52:00,6,56.68882503639907,2893,201.0,0,0,6,1.9011406844106464,97.58036640165918,0.0,0.5184929139301763,0.0,5.166666666666667,6.0,23.166666666666668,25.833333333333332,12,2893,-2.0609343974237784,-3.7249140778713468,3.334845178644173,3.4429088745182526,0.05255838483572006,42.23513412475586
47,2026-05-20T09:53:16,6,48.22256367560476,2940,201.0,0,0,6,1.9047619047619047,96.4625850340136,0.0,1.6326530612244898,0.0,4.166666666666667,7.166666666666667,18.333333333333332,16.333333333333332,12,2940,2.0026017304593,0.27333014094756436,3.465071602666285,3.264211821406775,0.06602552533149719,25.47262954711914
48,2026-05-20T09:55:02,7,63.904316460713744,3550,201.0,0,0,7,2.084507042253521,95.15492957746478,1.5211267605633803,1.2394366197183098,0.0,4.285714285714286,8.285714285714286,20.428571428571427,17.0,14,3550,0.8639144432760835,-0.8650398569617046,3.464885499619413,3.4884495719184656,0.0297679603099823,31.88176727294922
49,2026-05-20T09:57:07,8,80.20260549150407,4082,201.0,0,0,8,2.1558059774620286,97.03576678098972,0.09799118079372857,0.7104360607545321,0.0,4.5,8.5,16.75,17.125,16,4000,1.9982845665049338,0.2619717018791943,3.479279419174418,3.3268449614693054,0.06853926181793213,19.661367416381836
50,2026-05-20T09:59:17,8,73.4752078494057,4158,201.0,0,0,8,2.2847522847522845,96.87349687349688,0.0,0.8417508417508418,0.0,6.125,7.75,17.75,19.5,16,4000,-2.520743268051392,-4.240715320477676,3.447431179403793,3.7435372756126526,0.06621495634317398,28.842815399169922
51,2026-05-20T10:01:06,7,66.53135332278907,3314,201.0,0,0,7,2.504526252263126,96.92214846107423,0.12070006035003017,0.45262522631261315,0.0,6.571428571428571,7.285714285714286,20.142857142857142,20.428571428571427,14,3314,-2.3805029650438208,-4.08875190549918,3.42425407608971,3.8780975894960648,0.06449095159769058,118.8944320678711
52,2026-05-20T10:03:27,7,78.10445470735431,3761,201.0,0,0,7,2.7386333421962243,96.35735176814677,0.4520074448285031,0.4520074448285031,0.0,6.571428571428571,10.142857142857142,15.142857142857142,13.0,14,3761,0.7723896838203711,-1.018992867729338,3.5904382467851974,3.836571842889498,0.08127764612436295,14.593482971191406
53,2026-05-20T10:05:32,7,79.20968167576939,3532,201.0,0,0,7,2.1234428086070216,96.17780294450736,0.6795016987542469,1.0192525481313703,0.0,6.428571428571429,6.285714285714286,17.142857142857142,17.571428571428573,14,3532,-2.586868227768475,-4.295113943272561,3.4239435541676357,3.726061579731777,0.05974651873111725,36.15925979614258
54,2026-05-20T10:07:38,8,71.70474200323224,3844,201.0,0,0,8,2.2112382934443287,96.7741935483871,0.0,1.0145681581685744,0.0,5.375,7.25,19.375,21.875,16,3844,3.6621860089405365,1.94677042661597,3.437809444614686,3.4891399827763507,0.032879143953323364,33.7096061706543
55,2026-05-20T10:09:19,6,67.10874318983406,2979,201.0,0,0,6,2.38335011748909,97.2809667673716,0.0,0.3356831151393085,0.0,6.5,7.333333333333333,20.833333333333332,19.5,12,2979,-0.07388087406055263,-1.8718888835997944,3.603818735689856,3.9013583056862444,0.08610552549362183,62.52466583251953
56,2026-05-20T10:11:27,7,76.51617963146418,3711,201.0,0,0,7,2.775532201562921,95.90406898410131,0.37725680409593104,0.9431420102398276,0.0,7.285714285714286,9.428571428571429,14.571428571428571,15.142857142857142,14,3711,-0.18108215858013874,-1.9899039760228403,3.6254103067331016,3.883335923849245,0.08581696450710297,42.6214599609375
57,2026-05-20T10:13:26,7,62.167476600036025,3464,201.0,0,0,7,2.222863741339492,97.22863741339492,0.0,0.5484988452655889,0.0,5.142857142857143,7.857142857142857,20.428571428571427,21.857142857142858,14,3464,-3.721225649897276,-5.435373210600517,3.435578613425605,3.641746009561757,0.06489069014787674,33.74519729614258
58,2026-05-20T10:15:37,7,69.79804939031601,3616,201.0,0,0,7,1.9634955752212389,94.55199115044248,0.8296460176991151,2.6548672566371683,0.0,5.142857142857143,7.0,16.714285714285715,17.285714285714285,14,3616,1.0530282683807257,-0.6860069615113105,3.484616418078076,3.2729791470019336,0.04051920771598816,19.343034744262695
59,2026-05-20T10:17:43,7,73.70070310961455,3413,201.0,0,0,7,2.3439789041898624,97.3630237327864,0.0,0.2929973630237328,0.0,6.571428571428571,6.857142857142857,25.0,27.285714285714285,14,3413,-1.529182446545482,-3.2542752228401923,3.4577178136096336,3.76613051010645,0.06361087411642075,24.92859649658203
60,2026-05-20T10:19:00,5,48.87847587093711,2303,201.0,0,0,5,2.127659574468085,96.13547546678245,1.3894919669995658,0.34737299174989145,0.0,5.2,6.6,19.4,20.4,10,2303,-0.838152293482111,-2.566245702182016,3.462864120840095,3.3386517201424795,0.0630812868475914,23.060163497924805
61,2026-05-20T10:21:39,8,85.7576429322362,4050,201.0,0,0,8,2.6933531010625154,96.2688411168767,0.5930318754633062,0.4447739065974796,0.0,6.625,9.0,19.0,19.125,16,4000,0.7825284336428153,-0.9872149590995036,3.5474739127093926,3.9935636123773293,0.13422110676765442,38.56736373901367
62,2026-05-20T10:23:54,7,71.48889774642885,3449,201.0,0,0,7,2.1165555233400988,95.56393157436938,1.971585966946941,0.3479269353435778,0.0,5.571428571428571,6.857142857142857,19.571428571428573,17.571428571428573,14,3449,-3.3452178441823572,-5.0444381563668514,3.405901453574188,3.7304146025999216,0.058064013719558716,42.63378143310547
63,2026-05-20T10:26:07,7,74.66594986990094,3653,201.0,0,0,7,2.710101286613742,96.66027922255681,0.05474952094169176,0.5748699698877635,0.0,7.142857142857143,9.0,23.285714285714285,23.0,14,3653,-2.024395928401794,-3.7393074505157244,3.4377285177470185,3.9527367595787837,0.06732473522424698,55.303504943847656
64,2026-05-20T10:27:57,6,60.119187692180276,2998,201.0,0,0,6,1.9359145527369825,87.24966622162884,1.568758344459279,9.2456608811749,0.0,5.833333333333333,5.5,21.0,21.833333333333332,12,2996,1.4138385539769631,-0.3122889434963838,3.458792887220625,3.2689461369653827,0.09849636256694794,12.67911148071289
65,2026-05-20T10:29:49,6,62.982716728933156,3040,201.0,0,0,6,2.5657894736842106,97.00657894736842,0.0,0.4276315789473684,0.0,5.166666666666667,9.833333333333334,22.333333333333332,21.333333333333332,12,3040,-1.6160500730190714,-3.3495226208519995,3.474636608385481,3.845756359812526,0.07682515680789948,40.19793701171875
66,2026-05-20T10:30:51,4,36.79424222651869,2075,201.0,0,0,4,2.216867469879518,96.04819277108433,0.0,1.7349397590361446,0.0,4.75,8.75,18.0,18.25,8,2075,0.45967842605929854,-1.3082276659991408,3.5424634345108643,3.32562519699286,0.08158586919307709,64.89189147949219
67,2026-05-20T10:33:32,8,94.47949598357081,4171,201.0,0,0,8,2.2057060656916807,89.95444737473028,1.8700551426516423,5.969791416926396,0.0,7.125,6.375,16.625,18.625,16,4000,-0.3578485140959254,-2.1166042789314474,3.524666635785252,3.5775530571038985,0.058743271976709366,19.550533294677734
68,2026-05-20T10:35:39,7,63.633153196424246,3668,201.0,0,0,7,1.9083969465648856,93.2660850599782,0.0,4.825517993456924,0.0,5.142857142857143,6.857142857142857,19.285714285714285,17.857142857142858,14,3668,0.4423797987412107,-1.3224742211333194,3.5367234106524847,3.507685451712291,0.02822323888540268,37.21002960205078
69,2026-05-20T10:37:54,8,72.2677483195439,3981,201.0,0,0,8,1.909068073348405,95.55388093443858,0.4772670183371012,2.0597839738759105,0.0,4.75,6.5,23.625,24.5,16,3981,0.4289406833460246,-1.2715965769007782,3.4076960516977124,3.3107656020533796,0.14375384151935577,19.36957550048828
70,2026-05-20T10:40:09,7,71.01822823937982,3595,201.0,0,0,7,1.9749652294853963,96.85674547983311,0.22253129346314326,0.9457579972183588,0.0,4.142857142857143,8.0,13.857142857142858,12.714285714285714,14,3595,0.48342250845087553,-1.2715267041864138,3.5165530113736168,3.327293049519085,0.05595675855875015,19.195661544799805
