iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm
0,2026-05-15T08:56:03,6,26.814378605224192,2719,201.0,0,0,6,2.4641412283927915,95.43949981610886,0.036778227289444645,2.0595807282089003,0.0,5.166666666666667,8.0,18.666666666666668,17.5,12,2719,2.4081455394684843,0.4339131798243727,3.9559610369615257,3.748158836651328,-0.000670936016831547,6.158995151519775
1,2026-05-15T08:57:20,8,31.83170415367931,3612,201.0,0,0,8,2.2978959025470655,92.94019933554817,0.9136212624584718,3.84828349944629,0.0,5.25,7.125,21.875,19.0,16,3612,2.0125582187318725,0.040736144269317265,3.9512789141735993,3.817382624244601,0.07132109254598618,6.115478992462158
2,2026-05-15T08:58:30,8,34.0095521369949,3437,201.0,0,0,8,2.1821355833575793,96.59586848996217,0.0,1.2219959266802445,0.0,5.25,6.125,24.375,24.5,16,3437,2.2257018607552155,0.2362925389021484,3.9862637263722718,3.7225413330688752,0.0009321889956481755,7.814610481262207
3,2026-05-15T08:59:40,8,33.751366797834635,3435,201.0,0,0,8,2.2998544395924307,93.07132459970887,0.611353711790393,4.0174672489082965,0.0,5.625,6.25,22.125,21.875,16,3435,1.968118877796814,-0.019955596987728086,3.983990778331645,3.920914381280454,-0.008543581701815128,7.543214321136475
4,2026-05-15T09:00:52,7,31.56356597598642,2962,201.0,0,0,7,2.599594868332208,95.50979068197164,0.0,1.8906144496961512,0.0,5.857142857142857,7.142857142857143,26.857142857142858,26.428571428571427,14,2962,2.1869890425893583,0.20132686609792216,3.978694756398909,3.6852017080182122,-0.0056081730872392654,11.075695037841797
5,2026-05-15T09:01:45,7,27.939595415256917,3084,201.0,0,0,7,2.3022049286640724,91.95849546044099,1.556420233463035,4.182879377431907,0.0,5.142857142857143,7.0,22.571428571428573,22.142857142857142,14,3084,1.8377257292144487,-0.17666368951870481,4.035730884759687,3.4760236466900096,-0.006608961615711451,8.971364974975586
6,2026-05-15T09:02:36,6,27.90923383831978,2800,201.0,0,0,6,2.357142857142857,91.39285714285714,1.5357142857142858,4.714285714285714,0.0,5.666666666666667,7.166666666666667,18.833333333333332,17.666666666666668,12,2800,1.7092202243182801,-0.27127466603133144,3.9690741050289944,4.042162164885667,0.06800375878810883,7.422366142272949
7,2026-05-15T09:03:45,7,28.068968204781413,2967,201.0,0,0,7,2.4941017863161443,93.7984496124031,0.0,3.707448601280755,0.0,5.857142857142857,6.714285714285714,24.142857142857142,23.142857142857142,14,2967,2.239719145249856,0.26237803627824974,3.9623697235947475,3.8437528257672966,-0.006828540936112404,8.813029289245605
8,2026-05-15T09:04:59,8,31.57989855390042,3482,201.0,0,0,8,2.2688110281447442,95.54853532452613,0.0,2.182653647329121,0.0,4.875,7.0,20.0,20.25,16,3482,2.011049373417176,0.042700404759017374,3.944232026464306,3.7670445739940988,-0.0026474420446902514,7.19038724899292
9,2026-05-15T09:06:12,8,32.4354725247249,3389,201.0,0,0,8,2.154663518299882,95.12987012987013,0.29515938606847697,2.4203069657615113,0.0,4.625,6.375,24.5,22.875,16,3388,1.5236851206162108,-0.4443630914703647,3.943145261029713,3.524418428281024,0.02793458104133606,9.351079940795898
10,2026-05-15T09:07:24,7,26.957755596376956,3027,201.0,0,0,7,2.1473406012553684,96.10175090849026,0.0,1.7509084902543772,0.0,4.571428571428571,6.714285714285714,27.0,26.857142857142858,14,3027,1.7954347376667323,-0.16519492730840568,3.928265213733539,3.502941891631508,-0.006242959760129452,10.24326229095459
11,2026-05-15T09:08:14,5,20.746933486312628,2176,201.0,0,0,5,2.2518382352941178,95.26654411764706,0.0,2.4816176470588234,0.0,5.4,6.4,22.4,22.6,10,2176,1.9585832868520192,-0.022037590130821627,3.9683700868627056,3.564166448511969,-0.00838156882673502,8.238751411437988
12,2026-05-15T09:09:20,7,28.56908482965082,3101,201.0,0,0,7,2.194964493221433,92.54357650096837,2.2272433828276306,3.034215622982569,0.0,4.857142857142857,6.714285714285714,19.571428571428573,17.571428571428573,14,3098,1.5600567048970797,-0.4297012763456678,3.9872020593611524,3.8430484378286565,0.11539290100336075,11.236227035522461
13,2026-05-15T09:10:31,6,31.353052622638643,2721,201.0,0,0,6,2.535832414553473,91.98823961778758,2.6093348033811097,2.866593164277839,0.0,7.166666666666667,6.333333333333333,16.666666666666668,19.166666666666668,12,2721,1.4702230905072566,-0.47936045333301536,3.9080255597364157,4.4292360279359855,0.005837885197252035,12.18483829498291
14,2026-05-15T09:11:33,6,27.386271483264863,2650,201.0,0,0,6,2.5283018867924527,93.9245283018868,0.8301886792452831,2.7169811320754715,0.0,5.0,8.0,23.0,24.666666666666668,12,2650,1.5971549823231412,-0.37757076399367406,3.9573183291358873,3.933418251128387,0.10706543177366257,9.057038307189941
