iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm
0,2026-05-18T20:42:14,6,50.98582681454718,2985,201.0,0,0,6,2.1775544388609713,91.892797319933,0.7705192629815746,5.159128978224456,0.0,5.0,7.833333333333333,17.166666666666668,16.833333333333332,12,2985,2.9374359778580557,1.137478597751766,3.6062685165088624,3.1768781481416113,0.042320724576711655,17.453441619873047
1,2026-05-18T20:44:06,8,62.729666927829385,3780,201.0,0,0,8,1.9841269841269842,91.6931216931217,0.0,6.322751322751323,0.0,5.25,6.125,22.25,22.75,16,3780,3.2510200036521564,1.5314860095929896,3.4457191496621817,3.325580771924024,0.02629954367876053,20.14005470275879
2,2026-05-18T20:46:07,8,68.49894532281905,3805,201.0,0,0,8,2.5492772667542707,95.97897503285151,0.0,1.471747700394218,0.0,5.875,8.25,21.0,20.75,16,3805,-0.6754627150936385,-2.4568059883797186,3.5699523024377413,3.6328779327905067,0.06295989453792572,22.619966506958008
3,2026-05-18T20:47:45,7,63.81179139204323,3196,201.0,0,0,7,2.0337922403003756,94.27409261576972,0.4067584480600751,3.2853566958698375,0.0,5.571428571428571,5.714285714285714,22.571428571428573,21.571428571428573,14,3196,4.472275824643027,2.7555187011049442,3.439903024584055,3.1943887539446223,0.017954904586076736,22.687742233276367
4,2026-05-18T20:49:38,7,66.08933316078037,3253,201.0,0,0,7,2.1826006762988013,93.4521979711036,0.0,4.365201352597603,0.0,5.714285714285714,6.428571428571429,26.285714285714285,26.714285714285715,14,3253,2.425198794307246,0.6755674473918134,3.5056117784115486,3.1745422903413782,0.022593561559915543,26.76422119140625
5,2026-05-18T20:51:07,7,53.402360796928406,3308,201.0,0,0,7,1.9951632406287787,93.71221281741234,0.0,4.292623941958888,0.0,5.0,6.428571428571429,22.0,21.857142857142858,14,3308,0.798556585962949,-0.964026430411792,3.530870932561811,2.8524499061645656,0.04617460072040558,21.297340393066406
6,2026-05-18T20:52:59,6,60.862600774504244,2846,201.0,0,0,6,2.494729444834856,96.6268446943078,0.35137034434293746,0.5270555165144062,0.0,6.5,7.333333333333333,15.166666666666666,18.333333333333332,12,2846,-2.930550404350823,-4.689073193339482,3.524978618544992,3.9665202838368714,0.05545009672641754,30.69732666015625
7,2026-05-18T20:55:08,7,76.54709423426539,3383,201.0,0,0,7,2.6899201891812,96.33461424770914,0.2069169376293231,0.7685486254803429,0.0,7.142857142857143,7.857142857142857,19.857142857142858,22.428571428571427,14,3383,-5.395429713987456,-7.16827478937914,3.5536774326465093,3.993640931570553,0.06689697504043579,45.25761795043945
8,2026-05-18T20:57:11,8,77.20757472887635,4123,201.0,0,0,8,2.2071307300509337,94.00921658986175,0.0,3.783652680087315,0.0,4.875,8.5,19.0,18.375,16,4000,1.6505305937271468,-0.17962205508013795,3.667145232670009,3.419967527719791,0.039417002350091934,13.37230396270752
9,2026-05-18T20:58:55,8,53.407603392377496,3546,201.0,0,0,8,1.4382402707275803,83.33333333333333,0.11280315848843768,15.115623237450649,0.0,3.75,4.625,21.75,22.25,16,3546,1.3933140044411203,-0.3375947301667992,3.466475967084989,2.3292489345749345,0.042504750192165375,31.054290771484375
10,2026-05-18T21:00:46,7,56.737895300611854,3255,201.0,0,0,7,2.1812596006144394,96.71274961597543,0.030721966205837174,1.075268817204301,0.0,5.0,7.142857142857143,25.285714285714285,24.571428571428573,14,3255,-3.3828871310046114,-5.11891486394768,3.478827926912345,3.3862305131042376,0.050947509706020355,42.5905876159668
11,2026-05-18T21:01:58,5,41.59738727565855,2243,201.0,0,0,5,2.2737405260811414,97.36959429335711,0.0,0.3566651805617477,0.0,5.2,7.0,21.8,22.0,10,2243,-0.3750351407144094,-2.0860134883932346,3.4288759663468227,3.4596354945861094,0.04446840658783913,44.345157623291016
12,2026-05-18T21:03:28,7,52.967217149212956,3267,201.0,0,0,7,2.081420263238445,90.20508111417202,0.0,7.7134986225895315,0.0,5.428571428571429,6.285714285714286,18.285714285714285,19.714285714285715,14,3267,0.537728377812279,-1.2155899477392538,3.51300047931727,3.1819141071023296,0.04979415610432625,31.772645950317383
13,2026-05-18T21:05:32,7,73.34381935652345,3329,201.0,0,0,7,2.1327726043857016,91.4388705316912,0.33042955842595373,6.097927305497146,0.0,5.285714285714286,6.857142857142857,17.0,16.571428571428573,14,3329,-3.443916480999195,-5.1539144059375985,3.4272537449141964,3.628947518694531,0.04524566978216171,39.08765411376953
14,2026-05-18T21:06:55,6,50.6887189373374,2637,201.0,0,0,6,2.3511566173682215,91.58134243458476,0.0,6.067500948047023,0.0,6.333333333333333,6.0,21.166666666666668,24.5,12,2637,-0.6060934668132313,-2.380986258781377,3.5561084100045264,3.161413034117686,0.05593593791127205,23.459278106689453
15,2026-05-18T21:08:52,8,60.616379452869296,3834,201.0,0,0,8,2.2170057381324986,96.13980177360459,0.0,1.6431924882629108,0.0,5.375,7.25,23.75,24.0,16,3834,-4.2094230249493,-5.969028266128049,3.52634643757483,3.5679776086656148,0.05788993090391159,35.294288635253906
16,2026-05-18T21:10:39,7,66.16310995165259,3213,201.0,0,0,7,2.6143790849673203,96.0473078120137,0.0,1.3383131030189854,0.0,5.714285714285714,8.285714285714286,25.428571428571427,24.571428571428573,14,3213,-3.168156317875348,-4.904272270207457,3.479565069777891,3.6665825568366017,0.04677566885948181,43.29707336425781
17,2026-05-18T21:12:23,8,65.00948379561305,3860,201.0,0,0,8,1.994818652849741,92.7720207253886,0.0,5.233160621761658,0.0,6.125,5.5,17.5,18.0,16,3860,3.1066901051596134,1.3225307642962036,3.574330036120955,3.005677197067712,0.0294774379581213,21.091379165649414
18,2026-05-18T21:14:07,7,50.21267706621438,3281,201.0,0,0,7,1.9811033221578787,92.89850655288022,0.0,5.120390124961902,0.0,5.0,6.285714285714286,20.0,20.857142857142858,14,3281,0.5059099232752464,-1.2416168183686942,3.501195340184495,3.0709284483068586,0.050074897706508636,25.849138259887695
19,2026-05-18T21:15:53,7,68.01086001005024,3516,201.0,0,0,7,2.474402730375427,96.55858930602957,0.02844141069397042,0.9385665529010239,0.0,6.0,8.428571428571429,19.285714285714285,18.142857142857142,14,3516,-3.1567860340006866,-4.925065180733384,3.5442318322020583,3.8367693683320567,0.06764175742864609,32.431766510009766
20,2026-05-18T21:17:49,7,68.53191530611366,3592,201.0,0,0,7,2.505567928730512,94.59910913140311,0.0,2.89532293986637,0.0,5.571428571428571,9.285714285714286,16.714285714285715,16.857142857142858,14,3592,0.33896225013647474,-1.5241117989754116,3.733301951957401,3.5769268668141194,0.08133954554796219,28.69351577758789
21,2026-05-18T21:19:53,7,72.67176521848887,3455,201.0,0,0,7,2.720694645441389,94.90593342981187,0.6946454413892909,1.678726483357453,0.0,6.285714285714286,9.142857142857142,22.285714285714285,24.857142857142858,14,3455,-4.355793344076131,-6.1313604803142425,3.5586022086790763,3.7339681014273083,0.0657186210155487,47.25645446777344
22,2026-05-18T21:21:52,7,69.40407567005605,3279,201.0,0,0,7,2.5007624275693807,94.41903019213174,1.3113754193351632,1.7688319609637084,0.0,7.0,6.714285714285714,12.714285714285714,14.142857142857142,14,3279,-2.0829644646427306,-3.86460349693823,3.5706447253469378,3.683330377969469,0.06232808157801628,39.724761962890625
23,2026-05-18T21:23:42,8,55.67641857173294,3745,201.0,0,0,8,1.8958611481975969,91.58878504672897,0.0,6.515353805073431,0.0,5.375,5.5,16.0,19.375,16,3745,-1.1546448170365557,-2.922170616860541,3.541530800459441,3.2396004057353593,0.049650419503450394,26.00006103515625
24,2026-05-18T21:26:10,8,91.97319923341274,4084,201.0,0,0,8,2.42409402546523,94.44172380019589,1.3712047012732616,1.762977473065622,0.0,6.875,7.375,18.625,18.25,16,4000,-0.7401833326681276,-2.556499127065706,3.640046390995849,3.7074011003460328,0.15270480513572693,16.857206344604492
25,2026-05-18T21:27:59,7,56.153893396258354,3232,201.0,0,0,7,1.9492574257425743,97.30816831683168,0.0,0.7425742574257426,0.0,4.428571428571429,6.571428571428571,26.0,24.571428571428573,14,3232,1.3364417257567351,-0.35132220694430316,3.382448535237927,3.460334917925138,0.03992241621017456,19.59178352355957
26,2026-05-18T21:29:54,7,68.09864174108952,3223,201.0,0,0,7,2.1725636250775917,93.54438237119801,0.7138423339540658,3.569211669770329,0.0,5.571428571428571,6.428571428571429,22.0,21.714285714285715,14,3222,-3.5399675223211458,-5.260248648875347,3.447431523585692,3.4346352386446597,0.04982121288776398,33.28889846801758
27,2026-05-18T21:31:38,7,54.53386679943651,3402,201.0,0,0,7,2.498530276308054,95.64961787184009,0.14697236919459142,1.7048794826572604,0.0,7.285714285714286,6.857142857142857,18.571428571428573,19.142857142857142,14,3402,-3.3017552252561297,-5.133495588053506,3.670733491657302,3.6263830312745995,0.07688738405704498,68.47117614746094
28,2026-05-18T21:33:21,8,64.28539619594812,3971,201.0,0,0,8,2.3419793502896,91.23646436665827,0.0,6.421556283052128,0.0,5.5,8.125,16.0,15.875,16,3971,1.0030460226504616,-0.8319844089339199,3.6765897049335763,3.264420882406739,0.0496821366250515,26.57065200805664
29,2026-05-18T21:35:24,8,72.22503684367985,3716,201.0,0,0,8,2.502691065662002,93.03013993541443,0.05382131324004306,4.41334768568353,0.0,5.75,7.875,23.0,23.625,16,3716,0.8607334071023842,-0.895606701270566,3.51972035394283,3.5200685984648317,0.040287964046001434,14.579644203186035
30,2026-05-18T21:37:02,7,62.04943525418639,3484,201.0,0,0,7,2.2675086107921927,87.54305396096441,3.5304247990815156,6.659012629161883,0.0,6.142857142857143,7.142857142857143,17.714285714285715,18.142857142857142,14,3484,-3.1780018525661253,-4.967041717848588,3.584673226636369,3.296748035722203,0.06819989532232285,27.151195526123047
31,2026-05-18T21:38:47,8,67.38907177001238,3690,201.0,0,0,8,2.3577235772357725,96.66666666666667,0.0,0.975609756097561,0.0,5.875,7.0,20.0,22.125,16,3690,-0.4300355349786367,-2.1546252717545684,3.456194606842473,3.5075666453049053,0.04866114631295204,28.863088607788086
32,2026-05-18T21:40:31,6,55.92701943498105,2736,201.0,0,0,6,2.4853801169590644,94.33479532163743,0.9868421052631579,2.192982456140351,0.0,5.5,7.833333333333333,20.0,19.5,12,2736,1.6736876875001125,-0.07517445772327846,3.5046921975445002,3.4839535488590627,0.046081628650426865,27.38299560546875
33,2026-05-18T21:42:11,8,51.48317465465516,3695,201.0,0,0,8,1.7320703653585927,87.2530446549391,0.2976995940460081,10.717185385656292,0.0,5.125,4.875,19.25,21.125,16,3695,1.7463193457817021,-0.0665847810073501,3.63109076913679,2.6412577793428795,0.03397578001022339,29.43088722229004
34,2026-05-18T21:44:17,8,70.7109017688781,3875,201.0,0,0,8,2.9161290322580644,96.20645161290322,0.0,0.8774193548387097,0.0,7.125,9.0,17.25,18.625,16,3875,-3.9436961448657866,-5.759326771432654,3.639171025599353,3.9548862328088035,0.07814767956733704,45.91728973388672
