iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm
0,2026-05-16T10:34:28,6,30.306954736821353,3054,201.0,0,0,6,2.5867714472822527,91.683038637852,1.309757694826457,4.4204322200392925,0.0,6.666666666666667,8.333333333333334,15.333333333333334,17.666666666666668,12,3054,1.679815975974118,-0.15917239263394833,3.68547877157107,3.751017177468725,0.08777827024459839,7.5344462394714355
1,2026-05-16T10:35:47,8,34.7283945446834,3795,201.0,0,0,8,2.2661396574440054,88.98550724637681,0.5006587615283268,8.247694334650856,0.0,4.625,8.125,22.25,23.375,16,3795,3.2359350172158603,1.4008001454308214,3.677005003206432,3.3676298181771926,-0.01366217341274023,18.09540367126465
2,2026-05-16T10:37:12,8,34.43508354574442,3774,201.0,0,0,8,2.3588656241717465,93.00291545189505,0.26504108136761195,4.373177842565598,0.0,5.75,7.375,23.375,23.625,16,3773,1.2575376602840092,-0.5742490515484633,3.6709135917481035,3.67008404157923,0.02037561498582363,10.650215148925781
3,2026-05-16T10:38:38,8,39.93530281633139,3906,201.0,0,0,8,1.9201228878648233,92.88274449564773,0.35842293906810035,4.838709677419355,0.0,5.75,5.625,17.0,20.5,16,3906,1.878608571249209,0.026295833925303214,3.7116501017007977,3.512313526493017,-0.00847237091511488,11.727970123291016
4,2026-05-16T10:39:48,7,33.533026651479304,3220,201.0,0,0,7,2.8260869565217392,95.09316770186335,0.0,2.080745341614907,0.0,6.285714285714286,8.714285714285714,25.571428571428573,23.714285714285715,14,3220,1.1438722764711864,-0.6897284917187392,3.6749946565832943,3.8965601017216613,-0.000909504247829318,11.168402671813965
5,2026-05-16T10:40:45,7,29.69858704507351,3386,201.0,0,0,7,2.008269344359126,89.0431187241583,1.0336680448907265,7.914943886591849,0.0,5.285714285714286,6.428571428571429,19.0,20.285714285714285,14,3386,1.3828263536756156,-0.44900232152959063,3.670254008437041,3.2983290133142873,0.005759646650403738,11.876123428344727
6,2026-05-16T10:41:52,6,30.33141595032066,3006,201.0,0,0,6,2.3619427811044575,92.48170326014638,3.493013972055888,1.66333998669328,0.0,6.333333333333333,7.5,17.0,16.333333333333332,12,3006,-0.09307979625193342,-1.909083630629567,3.6399140178691596,3.9531745569461236,0.032859064638614655,26.767087936401367
7,2026-05-16T10:43:11,7,31.873679153621197,3321,201.0,0,0,7,2.2583559168925023,95.69406805179163,0.030111412225233364,2.0174646190906356,0.0,6.0,6.714285714285714,21.142857142857142,21.714285714285715,14,3321,0.96926647341111,-0.8848702577240068,3.7156898180255666,3.708177877666458,-0.01339466031640768,17.762929916381836
8,2026-05-16T10:44:28,8,34.135579174384475,3871,201.0,0,0,8,2.4024799793335054,93.59338672177732,0.25833118057349524,3.7458021183156807,0.0,5.125,8.5,17.875,18.625,16,3871,1.6462530209394641,-0.18418526657234224,3.6683087308774702,3.716077926928847,0.011624248698353767,14.914484977722168
9,2026-05-16T10:45:33,8,33.764468642883,3625,201.0,0,0,8,2.206896551724138,95.72413793103448,0.08275862068965517,1.986206896551724,0.0,5.125,6.875,22.0,20.375,16,3625,2.452587529750306,0.673171832887248,3.5653428236255422,3.255714949713024,0.0018424922600388527,13.161662101745605
10,2026-05-16T10:46:27,7,27.91495931148529,3185,201.0,0,0,7,1.8838304552590266,96.01255886970172,0.0,2.1036106750392465,0.0,4.0,6.571428571428571,27.714285714285715,24.857142857142858,14,3185,2.72973483031689,0.8638472662600716,3.737750640604645,2.987756245503988,-0.012967867776751518,18.546232223510742
11,2026-05-16T10:47:32,5,22.488108770921826,2337,201.0,0,0,5,2.0967051775780914,94.18057338468121,0.0,3.7227214377406934,0.0,6.0,5.8,19.6,21.6,10,2337,3.89457869308017,2.0768707274438754,3.6422981201903895,3.441094458900352,-0.01219321321696043,29.182615280151367
12,2026-05-16T10:48:37,7,30.575268330983818,3344,201.0,0,0,7,2.2734071193538736,92.6114268620999,2.8118456476218965,2.3033203709243195,0.0,4.714285714285714,8.0,18.857142857142858,19.0,14,3343,0.4272115210095526,-1.4133520076791228,3.688532689178828,3.702815900738642,0.0422334149479866,14.495382308959961
13,2026-05-16T10:49:46,6,35.26988776400685,3149,201.0,0,0,6,2.0012706480304954,87.86531130876747,2.763659466327827,7.369758576874206,0.0,5.333333333333333,7.0,16.666666666666668,16.333333333333332,12,3148,2.214435110980328,0.3877924282950005,3.6608725507976487,3.793592713496764,0.027307672426104546,7.5085930824279785
14,2026-05-16T10:50:53,7,33.133238793350756,3338,201.0,0,0,7,2.456560814859197,93.34931096464949,0.6291192330736968,3.5650089874176154,0.0,5.714285714285714,8.0,18.285714285714285,19.714285714285715,14,3338,1.493412224975672,-0.30385257153356804,3.601867931371089,3.669169176304422,-0.002073762472718954,25.001689910888672
15,2026-05-16T10:52:09,8,36.19226369075477,3833,201.0,0,0,8,1.747978085050874,81.03313331594052,2.321941038351161,14.896947560657448,0.0,5.0,5.375,20.625,22.375,16,3833,1.9792870311098096,0.10117317644727386,3.7622579667367972,3.015128705862935,-0.01789981871843338,12.598381042480469
16,2026-05-16T10:53:25,7,33.271102984435856,3380,201.0,0,0,7,2.455621301775148,91.12426035502959,0.11834319526627218,6.3017751479289945,0.0,6.142857142857143,7.714285714285714,18.285714285714285,23.571428571428573,14,3380,2.381317161524447,0.5784368419400892,3.6132460437365808,3.7427022839328856,0.021150952205061913,19.5277042388916
17,2026-05-16T10:54:49,8,36.26882994174957,3949,201.0,0,0,8,2.355026589009876,94.78348949101039,0.7343631299063054,2.127120790073436,0.0,5.875,7.75,15.375,14.25,16,3949,0.4982619342608327,-1.3438627722418346,3.691722766845487,3.7366769200762064,0.04635147377848625,15.888786315917969
18,2026-05-16T10:56:08,7,31.441694419831038,3418,201.0,0,0,7,2.0479812755997657,94.67524868344061,0.17554125219426564,3.10122878876536,0.0,6.0,6.0,15.571428571428571,18.857142857142858,14,3418,1.0101090666115955,-0.8024875675613918,3.6323169243405573,3.5618279972914024,-0.003225600579753518,19.25541877746582
19,2026-05-16T10:57:28,7,35.29270876199007,3695,201.0,0,0,7,2.5494982370490913,92.62272850556008,1.4646053702196908,3.3631678871711417,0.0,7.285714285714286,8.142857142857142,15.285714285714286,19.285714285714285,14,3687,0.667081978647152,-1.224368688624736,3.790695570758544,3.8971181073839034,0.14152036607265472,13.825996398925781
20,2026-05-16T10:58:38,8,36.16527763195336,3955,198.625,1,0,7,2.5816249050873195,92.9891166793217,1.9994937990382182,2.4297646165527715,0.0,6.625,7.75,12.875,16.25,16,3951,0.6869450645357414,-1.139245641949799,3.660361800692044,3.990193860481668,0.16464638710021973,19.345548629760742
21,2026-05-16T11:00:14,8,37.26361109595746,3819,201.0,0,0,8,2.5144054478784703,88.99947616553169,5.212152959664746,3.2739654269250917,0.0,5.0,8.875,22.375,20.125,16,3818,1.2591299260718494,-0.5934739337311896,3.713094595586881,3.943437990401435,0.06127072498202324,9.189013481140137
22,2026-05-16T11:01:17,7,33.27379694394767,3385,201.0,0,0,7,1.8316100443131462,92.58493353028065,1.03397341211226,4.549483013293944,0.0,4.857142857142857,6.0,14.142857142857142,13.857142857142858,14,3385,2.4663812256301196,0.5989493132737209,3.7417941972380504,3.465186262626503,-0.021313725039362907,14.248964309692383
23,2026-05-16T11:02:31,8,31.297964753583074,3684,201.0,0,0,8,2.1449904968775453,96.19875101819169,0.8417051316861255,0.8145533532446375,0.0,5.375,6.5,17.625,17.5,16,3683,0.286668603744537,-1.5508168713636223,3.682432990462985,3.73102012333311,0.07618320733308792,18.36392593383789
24,2026-05-16T11:03:47,8,36.97579205967486,3748,201.0,0,0,8,2.2945570971184632,94.69050160085379,0.21344717182497333,2.8014941302027747,0.0,5.875,6.875,19.375,20.5,16,3748,0.8245048164702875,-0.9889904299026284,3.634469133161474,3.739320207821038,0.003431641263887286,21.271419525146484
25,2026-05-16T11:05:01,7,31.800045067444444,3285,201.0,0,0,7,2.374429223744292,93.05936073059361,0.091324200913242,4.474885844748859,0.0,6.0,7.142857142857143,18.142857142857142,21.714285714285715,14,3285,-0.43204660729862293,-2.242472202482489,3.628188235394191,3.668522513229618,0.01556104514747858,31.291303634643555
26,2026-05-16T11:06:15,7,33.069629650563,3231,201.0,0,0,7,1.7641597028783658,92.29340761374188,0.0,5.942432683379758,0.0,5.142857142857143,5.0,21.857142857142858,19.428571428571427,14,3231,1.5098524473752095,-0.3077011857987628,3.6420269877417013,3.4598606968784225,-0.00026624498423188925,20.3073787689209
27,2026-05-16T11:07:19,7,27.926676829345524,3285,201.0,0,0,7,2.252663622526636,94.88584474885845,0.15220700152207,2.7092846270928463,0.0,5.0,7.571428571428571,19.0,18.285714285714285,14,3285,0.9456068713644359,-0.8315169772232025,3.5616811994696036,3.71675114716345,0.008417520672082901,21.3236141204834
28,2026-05-16T11:08:26,8,34.79949824605137,3970,201.0,0,0,8,2.2418136020151134,94.55919395465995,0.5793450881612091,2.619647355163728,0.0,5.625,7.5,16.125,18.125,16,3970,1.7928163091444267,-0.006906116786922212,3.6073104171082377,3.9327826227699916,0.007267046254128218,13.61236572265625
29,2026-05-16T11:09:38,8,34.72081841900945,3819,201.0,0,0,8,2.1733438072793927,94.94632102644671,0.1832940560356114,2.697041110238282,0.0,5.625,6.75,15.5,20.375,16,3819,2.1311517373598514,0.3042606344100136,3.6610453811008483,3.6315876005864993,0.011824297718703747,15.056445121765137
30,2026-05-16T11:10:39,7,31.529961163178086,3571,201.0,0,0,7,2.8867713004484306,94.78699551569507,0.5325112107623319,1.7937219730941705,0.0,8.0,8.714285714285714,13.714285714285714,14.571428571428571,14,3568,0.7183283311410776,-1.1082849580837575,3.6611852541100234,3.9793378301765188,0.08447020500898361,23.799741744995117
